"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.52449631013,-2.42265559457108,0.0600112531782746,-40.3700217253275,0,0,"CNN3","1266","1266"
"ENSG00000183508",2053.90418828352,3.20201707573755,0.0724335049611771,44.2062975891304,0,0,"TENT5C","54855","54855"
"ENSG00000159176",5692.33590298369,-2.31367426077977,0.057562919138276,-40.1938312965319,0,0,"CSRP1","1465","1465"
"ENSG00000116016",4423.85719104464,-1.88795492473538,0.0431796520569178,-43.7232546998468,0,0,"EPAS1","2034","2034"
"ENSG00000164251",2348.79672326429,3.34457324545858,0.0690838654950307,48.4132325470288,0,0,"F2RL1","2150","2150"
"ENSG00000124766",2576.67354749235,2.3923529521569,0.0617213702528332,38.7605288469286,0,0,"SOX4","6659","6659"
"ENSG00000124762",28106.2707747349,1.8323232922938,0.038908397401559,47.0932604440906,0,0,"CDKN1A","1026","1026"
"ENSG00000106366",43718.2343050003,-1.84398160854646,0.0419222461781508,-43.9857540244948,0,0,"SERPINE1","5054","5054"
"ENSG00000188153",2944.14828781268,2.26614550723464,0.0552806139508785,40.9934938358011,0,0,"COL4A5","1287","1287"
"ENSG00000122861",28007.35989012,2.2625908254909,0.0552311932089162,40.9658146788985,0,0,"PLAU","5328","5328"
"ENSG00000148773",1840.15218991922,-3.1959944849244,0.075801798788151,-42.1625150856445,0,0,"MKI67","4288","4288"
"ENSG00000139289",12942.9914247293,2.0374261828323,0.0463086657277602,43.996650536423,0,0,"PHLDA1","22822","22822"
"ENSG00000125257",6050.82214107652,1.95061452194856,0.0436055975717816,44.7331221350091,0,0,"ABCC4","10257","10257"
"ENSG00000211448",1884.77188757977,2.52378503386646,0.0654064642882779,38.5861712803021,0,0,"DIO2","1734","1734"
"ENSG00000128917",1307.35857730712,3.85831801384557,0.0865292602485533,44.5897492104132,0,0,"DLL4","54567","54567"
"ENSG00000138623",2851.55297343898,-2.40662237199027,0.0581453096154822,-41.3897937409807,0,0,"SEMA7A","8482","8482"
"ENSG00000131747",1743.80026687312,-2.92412400042174,0.0696345765442493,-41.9924144805219,0,0,"TOP2A","7153","7153"
"ENSG00000167601",8244.88946538946,-2.14228155401087,0.0404517542272153,-52.9589283564267,0,0,"AXL","558","558"
"ENSG00000123416",4419.9837552199,-1.93835371512884,0.050588526230225,-38.3160740106861,3.31023982713635e-321,2.51647890118426e-318,"TUBA1B","10376","10376"
"ENSG00000059804",3443.41922599331,2.07982854381125,0.0543364494559507,38.2768577011518,1.48713759398215e-320,1.07401077037391e-317,"SLC2A3","6515","6515"
"ENSG00000150938",7442.8268576805,-2.05956729778773,0.0538523374857366,-38.2447149732959,5.09184054603989e-320,3.50221644481266e-317,"CRIM1","51232","51232"
